,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
91,The New York Times,Catholic School Rejected Its Gay Valedictorian’s Speech. So He Gave It With a Bullhorn. https://t.co/AmteIkK12L,Mon May 28 21:52:40 +0000 2018,-0.5106,0.0,0.798,0.202
92,The New York Times,"After laying a wreath at the Tomb of the Unknowns, President Trump addressed a cheering crowd that included Gold St… https://t.co/knzSg7czP2",Mon May 28 21:47:04 +0000 2018,0.5106,0.155,0.845,0.0
93,The New York Times,The valedictorian at a Catholic school in Kentucky says school officials blocked him from speaking at graduation. S… https://t.co/xW6PAbFGsY,Mon May 28 21:29:06 +0000 2018,-0.2732,0.0,0.89,0.11
94,The New York Times,Did the Trump Administration Separate Immigrant Children From Parents and Lose Them? https://t.co/lR7803mxmd,Mon May 28 21:19:24 +0000 2018,-0.4019,0.0,0.816,0.184
95,The New York Times,"He’s been called ""gray,"" ""invisible"" and ""gentle to the point of seeming fragile."" But on Monday, Italy's quiet pre… https://t.co/RsfPBDibfu",Mon May 28 21:10:06 +0000 2018,0.4404,0.132,0.868,0.0
96,The New York Times,"President Trump’s promotion of elaborate, unproven theories is having a distinct effect https://t.co/xA2P9Xd3Pn",Mon May 28 20:53:04 +0000 2018,0.0,0.0,1.0,0.0
97,The New York Times,"RT @tackettdc: “We understand that patriotism is not about making everybody stand and salute the flag,” Mr. Kander said as the more than 22…",Mon May 28 20:38:05 +0000 2018,0.0,0.0,1.0,0.0
98,The New York Times,How to apply for the public service loan forgiveness fix-it fund https://t.co/Zpt8fMWYfE,Mon May 28 20:23:03 +0000 2018,0.2732,0.16,0.84,0.0
99,The New York Times,"RT @nytimesarts: Yes, there's an awards show for movie trailers. And we have some favorites. https://t.co/FMCUu9Bu51",Mon May 28 20:08:02 +0000 2018,0.8176,0.395,0.605,0.0
100,Fox News,"8 people killed, 25 wounded in bloody weekend in Chicago https://t.co/RZfwAoczGT",Tue May 29 00:09:27 +0000 2018,-0.8126,0.0,0.519,0.481
101,Fox News,A Purple Heart recipient is sharing his story in an effort to help other veterans battling opioid abuse. #TheStory https://t.co/Rp3LiZ2QCt,Tue May 29 00:06:25 +0000 2018,-0.2023,0.205,0.56,0.235
